timestamp,nifty,vix,spx_ret,usdinr,crude_ret,status
2026-03-21 02:21:36.762301,22000.0,,0.0,,0.0,MISSING
2026-03-21 02:37:51.262601,22000.0,,0.0,,0.0,MISSING
2026-03-21 02:54:14.233059,22000.0,,0.0,,0.0,MISSING
2026-03-21 03:09:42.152032,22000.0,,0.0,,0.0,MISSING
2026-03-21 03:26:01.446382,22000.0,,0.0,,0.0,MISSING
2026-03-21 03:42:38.883127,22000.0,,0.0,,0.0,MISSING
2026-03-21 03:59:54.683835,22000.0,,0.0,,0.0,MISSING
2026-03-21 04:19:31.084037,22000.0,,0.0,,0.0,MISSING
2026-03-21 04:36:34.626898,22000.0,,0.0,,0.0,MISSING
2026-03-21 04:54:50.363917,22000.0,,0.0,,0.0,MISSING
2026-03-21 05:13:22.803359,22000.0,,0.0,,0.0,MISSING
2026-03-21 05:28:56.898000,22000.0,,0.0,,0.0,MISSING
2026-03-21 05:46:55.960947,22000.0,,0.0,,0.0,MISSING
2026-03-21 06:03:47.372450,22000.0,,0.0,,0.0,MISSING
2026-03-21 06:19:51.341050,22000.0,,0.0,,0.0,MISSING
2026-03-21 06:36:26.181772,22000.0,,0.0,,0.0,MISSING
2026-03-21 06:55:43.431980,22000.0,,0.0,,0.0,MISSING
2026-03-21 07:12:40.791103,22000.0,,0.0,,0.0,MISSING
2026-03-21 07:29:36.077676,22000.0,,0.0,,0.0,MISSING
2026-03-21 07:48:19.507777,22000.0,,0.0,,0.0,MISSING
